batch,kernel_time,flops,utils
196,239.38,96.16,0.57928
2180,2106.16,121.56,0.73229
2184,2070.45,123.88,0.74627
2188,2042.9,125.78,0.75771
2192,2049.67,125.6,0.75663
2196,2081.36,123.91,0.74645
2200,2072.86,124.64,0.75084
2204,2062.25,125.51,0.75608
2208,2086.01,124.31,0.74886
2212,2072.58,125.34,0.75506
2216,2043.03,127.38,0.76735
2220,2090.03,124.74,0.75145
2224,2109.51,123.81,0.74584
2228,2043.3,128.06,0.77145
2232,2084.13,125.77,0.75765
2236,2082.62,126.09,0.75958
2240,2075.71,126.74,0.76349
2564,2400.14,125.46,0.75578
2568,2387.2,126.34,0.76108
2572,2349.34,128.57,0.77452
2576,2383.53,126.92,0.76458
2580,2352.64,128.79,0.77584
2584,2325.08,130.52,0.78627
2588,2332.23,130.32,0.78506
2592,2344.28,129.85,0.78223
2596,2352.83,129.58,0.7806
2600,2346.04,130.15,0.78404
2604,2331.87,131.15,0.79006
2608,2340.92,130.84,0.78819
2612,2332.99,131.49,0.79211
2616,2332.28,131.73,0.79355
2620,2346.31,131.14,0.79
2820,2512.99,131.79,0.79392
2948,2608.04,132.75,0.7997
3076,2930.15,123.29,0.74271
3080,2926.17,123.61,0.74464
3084,2848.36,127.16,0.76602
3088,2842.55,127.58,0.76855
3092,2877.91,126.18,0.76012
3096,2852.33,127.47,0.76789
3100,2881.71,126.34,0.76108
3104,2855.87,127.64,0.76892
3108,2837.38,128.64,0.77494
3112,2874.45,127.15,0.76596
3116,2849.61,128.42,0.77361
3120,2876.26,127.39,0.76741
3124,2875.94,127.57,0.76849
3128,2854.77,128.68,0.77518
3132,2843.81,129.34,0.77916
3136,2883.07,127.74,0.76952
3716,3408.92,128.02,0.7712
3720,3369.74,129.65,0.78102
3724,3360.21,130.16,0.7841
3728,3383.18,129.41,0.77958
3732,3367.1,130.17,0.78416
3736,3364.53,130.41,0.7856
3740,3396.3,129.33,0.7791
3744,3366.31,130.62,0.78687
3748,3360.19,130.99,0.7891
3752,3377.56,130.46,0.7859
3756,3364.81,131.09,0.7897
3760,3363.4,131.29,0.7909
3764,3380.46,130.77,0.78777
