batch,kernel_time,flops,utils
1,80.84,2.91,0.00933
2,79.23,5.93,0.01901
4,79.97,11.75,0.03766
6,80.86,17.43,0.05587
8,80.43,23.36,0.07487
10,81.46,28.83,0.0924
12,80.65,34.95,0.11202
14,81.2,40.5,0.12981
16,82.01,45.82,0.14686
20,84.54,55.57,0.17811
24,85.69,65.79,0.21087
28,85.22,77.17,0.24734
32,85.76,87.64,0.2809
36,89.66,94.31,0.30228
40,89.44,105.05,0.3367
44,89.63,115.3,0.36955
48,90.25,124.92,0.40038
52,97.81,124.87,0.40022
56,97.84,134.44,0.4309
60,97.86,144.01,0.46157
64,98.2,153.08,0.49064
68,180.45,88.51,0.28369
72,180.38,93.75,0.30048
76,180.19,99.07,0.31753
80,181.06,103.78,0.33263
84,184.16,107.14,0.3434
88,184.73,111.89,0.35862
92,185.08,116.76,0.37423
96,185.05,121.85,0.39054
100,188.94,124.32,0.39846
104,189.96,128.59,0.41215
108,190.03,133.49,0.42785
112,190.75,137.91,0.44202
116,197.05,138.27,0.44317
120,197.14,142.97,0.45824
124,197.96,147.13,0.47157
128,179.1,167.87,0.53804
132,258.64,119.87,0.3842
136,258.93,123.37,0.39542
140,258.94,126.99,0.40702
144,259.14,130.52,0.41833
148,263.78,131.79,0.4224
152,263.35,135.57,0.43452
156,262.74,139.46,0.44699
160,263.54,142.6,0.45705
164,267.44,144.03,0.46163
168,267.69,147.41,0.47247
172,268.44,150.5,0.48237
176,268.62,153.89,0.49324
180,277.79,152.2,0.48782
184,278.25,155.32,0.49782
188,277.96,158.86,0.50917
192,267.92,168.32,0.53949
196,348.8,131.99,0.42304
200,348.38,134.84,0.43218
204,348.21,137.61,0.44106
208,348.3,140.27,0.44958
212,352.84,141.13,0.45234
216,352.75,143.83,0.46099
220,352.45,146.61,0.4699
224,353.71,148.75,0.47676
228,357.34,149.87,0.48035
232,356.76,152.74,0.48955
236,357.05,155.25,0.4976
240,358.99,157.03,0.5033
244,365.71,156.71,0.50228
248,365.72,159.28,0.51051
252,366.52,161.49,0.5176
256,342.72,175.45,0.56234
260,422.61,144.5,0.46314
264,423.35,146.47,0.46946
268,422.03,149.16,0.47808
272,423.41,150.89,0.48362
276,426.64,151.95,0.48702
280,426.36,154.25,0.49439
284,426.88,156.26,0.50083
288,428.39,157.91,0.50612
292,431.38,158.99,0.50958
296,431.53,161.11,0.51638
300,432.84,162.8,0.52179
304,432.41,165.13,0.52926
308,440.26,164.32,0.52667
312,440.17,166.49,0.53362
316,440.98,168.31,0.53946
320,441.41,170.28,0.54577
324,523.12,145.48,0.46628
328,522.24,147.52,0.47282
332,523.27,149.03,0.47766
336,522.87,150.94,0.48378
340,526.67,151.63,0.48599
344,527.48,153.18,0.49096
348,526.31,155.31,0.49779
352,528.9,156.32,0.50103
356,532.14,157.13,0.50362
360,531.38,159.13,0.51003
364,530.94,161.03,0.51612
368,531.97,162.48,0.52077
372,539.91,161.83,0.51869
376,539.49,163.7,0.52468
380,541.97,164.69,0.52785
384,507.75,177.64,0.56936
388,588.34,154.9,0.49647
392,588.98,156.33,0.50106
396,588.88,157.95,0.50625
400,588.15,159.74,0.51199
