batch,kernel_time,flops,utils,kernel_name
1,146.4,1.6,0.00513,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
2,148.21,3.17,0.01016,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
4,148.76,6.32,0.02026,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
6,148.7,9.48,0.03038,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
8,153.24,12.26,0.03929,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
10,152.51,15.4,0.04936,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
12,154.36,18.26,0.05853,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
14,154.5,21.28,0.06821,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
16,146.75,25.61,0.08208,ampere_fp16_s16816gemm_fp16_128x64_sliced1x2_ldg8_f2f_stages_64x3_nn
20,159.69,29.42,0.09429,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
24,159.23,35.4,0.11346,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
28,172.08,38.22,0.1225,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
32,173.7,43.27,0.13869,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8::Params)
36,172.17,49.11,0.1574,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8::Params)
40,172.14,54.58,0.17494,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x3_nn_align8::Params)
44,164.11,62.97,0.20183,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn
48,154.57,72.94,0.23378,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
52,156.35,78.12,0.25038,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
56,155.67,84.5,0.27083,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
60,156.96,89.79,0.28779,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn
64,168.3,89.32,0.28628,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn
68,172.59,92.54,0.2966,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
72,173.24,97.62,0.31288,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
76,173.97,102.61,0.32888,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
80,173.76,108.14,0.3466,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
84,174.63,112.98,0.36212,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
88,175.13,118.02,0.37827,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
92,176.59,122.37,0.39221,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
96,176.92,127.45,0.40849,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x128_32x5_nn_align8::Params)
