batch,kernel_time,flops,utils,kernel_name
1,23.45,1.43,0.00458,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
2,23.06,2.91,0.00933,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
4,23.39,5.74,0.0184,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
6,23.47,8.58,0.0275,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
8,23.4,11.47,0.03676,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
10,23.58,14.23,0.04561,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
12,23.47,17.16,0.055,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
14,23.49,20.0,0.0641,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
16,24.17,22.21,0.07119,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_nn
20,23.94,28.03,0.08984,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
24,24.4,33.0,0.10577,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
28,24.31,38.65,0.12388,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
32,24.43,43.95,0.14087,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
36,24.62,49.06,0.15724,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
40,24.92,53.86,0.17263,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
44,24.89,59.32,0.19013,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
48,24.08,66.89,0.21439,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
52,24.03,72.61,0.23272,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
56,24.44,76.88,0.24641,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
60,24.58,81.91,0.26253,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
64,24.68,87.01,0.27888,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn
68,31.1,73.37,0.23516,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
72,31.23,77.36,0.24795,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
76,31.12,81.95,0.26266,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
80,31.02,86.54,0.27737,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
84,31.13,90.54,0.29019,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
88,31.14,94.82,0.30391,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
92,31.33,98.53,0.3158,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x4_nn
96,31.04,103.78,0.33263,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
100,31.05,108.07,0.34638,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
104,31.02,112.5,0.36058,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
108,31.02,116.82,0.37442,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
112,30.93,121.5,0.38942,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
116,31.03,125.44,0.40205,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
120,31.08,129.55,0.41522,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
124,31.05,134.0,0.42949,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
128,31.14,137.92,0.44205,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
132,37.35,118.59,0.3801,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
136,37.77,120.82,0.38724,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
140,38.07,123.39,0.39548,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
144,37.87,127.59,0.40894,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
148,38.09,130.38,0.41788,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
152,38.05,134.04,0.42962,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
156,38.06,137.53,0.4408,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
160,38.04,141.13,0.45234,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
164,38.34,143.53,0.46003,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
168,38.55,146.23,0.46869,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
172,38.46,150.06,0.48096,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
176,38.4,153.79,0.49292,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
180,38.74,155.91,0.49971,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
184,39.16,157.66,0.50532,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
188,39.12,161.25,0.51683,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
192,39.02,165.11,0.5292,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
196,62.71,104.87,0.33612,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
200,62.82,106.83,0.3424,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
204,63.1,108.48,0.34769,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
208,63.21,110.41,0.35388,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
212,63.24,112.48,0.36051,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
216,63.62,113.92,0.36513,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
220,63.68,115.92,0.37154,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_128x64_64x6_nn_align8::Params)
224,49.21,152.74,0.48955,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
228,48.81,156.74,0.50237,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
232,48.87,159.29,0.51054,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
236,49.21,160.92,0.51577,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
240,49.26,163.48,0.52397,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
244,49.21,166.37,0.53324,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
248,49.34,168.66,0.54058,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
252,49.39,171.2,0.54872,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
256,49.52,173.46,0.55596,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
260,59.54,146.53,0.46965,ampere_fp16_s16816gemm_fp16_128x128_ldg8_f2f_stages_32x5_nn
